Geocode Address,Geocode Street,Case Number,Occurred From Date Year,Occurred From Date Month,Occurred From Time,Occurred From Timestamp,Occurred Through Date Year,Occurred Through Date Month,Occurred Through Time,Occurred Through Timestamp,Reported Date Year,Reported Date Month,Reported Time,Reported Timestamp,Address StreetFull,Address City,Address State,Patrol Beat,Patrol Section,Case Status,Statute Title,Statute Section,Statute Subsection,Statute Degree,Statute Class,Statute Category,Statute Text,Statute Description,Statute Crime Category,Statute Attempted,Weapon Description,Larceny Type,Location Type,Geo Beat,Geo Section,Geo Section Num
"675 S Plymouth Ave, Rochester, NY, 14608",675 S PLYMOUTH AVE,2018-00246719,2018,10,1100,"10/5/2018, 7:00 AM",2018,10,1100,"10/5/2018, 7:00 AM",2018,10,1136,"10/5/2018, 11:36 AM",675 S PLYMOUTH AVE,Rochester,NY,233,Genesee,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Unknown,* No Larceny Type Specified *,Other Outside Location,233,Genesee,3
"26 Elmdorf Ave, Rochester, NY, 14619",26 ELMDORF AL,2018-00224817,2018,9,1656,"9/11/2018, 12:56 PM",2018,9,1656,"9/11/2018, 12:56 PM",2018,9,1656,"9/11/2018, 4:56 PM",26 ELMDORF AL,***,NY,***,***,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,253,Genesee,3
"6 Lamont Pl, Rochester, NY, 14609",6 LAMONT PL,2018-00213997,2018,8,0110,"8/30/2018, 9:10 PM",2018,8,0110,"8/30/2018, 9:10 PM",2018,8,0110,"8/31/2018, 1:10 AM",6 LAMONT PL,Rochester,NY,215,Goodman,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,215,Goodman,5
"2 Brown St, Rochester, NY, 14614",2 BROWN ST,2018-00252400,2018,10,2315,"10/11/2018, 7:15 PM",2018,10,2315,"10/11/2018, 7:15 PM",2018,10,2316,"10/11/2018, 11:16 PM",2 BROWN ST,Rochester,NY,209,Central,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Semiautomatic Handgun,* No Larceny Type Specified *,Street,209,Central,9
"4 Myrtle Hill Park, Rochester, NY, 14606",4 MYRTLE HILL PARK,2018-00256048,2018,10,1559,"10/16/2018, 11:59 AM",2018,10,1559,"10/16/2018, 11:59 AM",2018,10,1559,"10/16/2018, 3:59 PM",4 MYRTLE HILL PARK,Rochester,NY,261,Lake,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Blunt Object,* No Larceny Type Specified *,Street,261,Lake,1
"4 Myrtle Hill Park, Rochester, NY, 14606",4 MYRTLE HILL PARK,2018-00256048,2018,10,1559,"10/16/2018, 11:59 AM",2018,10,1559,"10/16/2018, 11:59 AM",2018,10,1559,"10/16/2018, 3:59 PM",4 MYRTLE HILL PARK,Rochester,NY,261,Lake,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Blunt Object,* No Larceny Type Specified *,Street,261,Lake,1
"4 Myrtle Hill Park, Rochester, NY, 14606",4 MYRTLE HILL PARK,2018-00215387,2018,9,1511,"9/1/2018, 11:11 AM",2018,9,1511,"9/1/2018, 11:11 AM",2018,9,1511,"9/1/2018, 3:11 PM",4 MYRTLE HILL PARK,Rochester,NY,261,Lake,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Outside Location,261,Lake,1
"8 W Avenue A, Rochester, NY, 14621",8 W AVENUE A,2018-00242713,2018,9,1347,"9/30/2018, 9:47 AM",2018,9,1347,"9/30/2018, 9:47 AM",2018,9,1347,"9/30/2018, 1:47 PM",8 W AVENUE A,Rochester,NY,247,Clinton,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Yard,247,Clinton,7
"391 Garson Ave, Rochester, NY, 14609",391 GARSON AVE,2018-00247883,2018,10,1920,"10/6/2018, 3:20 PM",2018,10,1923,"10/6/2018, 3:23 PM",2018,10,1923,"10/6/2018, 7:23 PM",391 GARSON AVE,Rochester,NY,225,Goodman,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Single Family Home,225,Goodman,5
"764 N Clinton Ave, Rochester, NY, 14605",764 N CLINTON AVE,2018-00231572,2018,9,1536,"9/18/2018, 11:36 AM",2018,9,1536,"9/18/2018, 11:36 AM",2018,9,1536,"9/18/2018, 3:36 PM",764 N CLINTON AVE,Rochester,NY,277,Clinton,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,277,Clinton,7
"287 Ellison St, Rochester, NY, 14609",287 ELLISON ST,2018-00222862,2018,9,1854,"9/1/2018, 2:54 PM",2018,9,1854,"9/1/2018, 2:54 PM",2018,9,0949,"9/9/2018, 9:49 AM",287 ELLISON ST,Rochester,NY,205,Goodman,Warrant Advised,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,205,Goodman,5
"285 Ormond St, Rochester, NY, 14605",285 ORMOND ST,2018-00257916,2018,10,1810,"10/18/2018, 2:10 PM",2018,10,1810,"10/18/2018, 2:10 PM",2018,10,1810,"10/18/2018, 6:10 PM",285 ORMOND ST,Rochester,NY,287,Clinton,Warrant Application,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Parking Lot,287,Clinton,7
"462 Genesee St, Rochester, NY, 14611",462 GENESEE ST,2018-00233833,2018,9,2008,"9/20/2018, 4:08 PM",2018,9,2008,"9/20/2018, 4:08 PM",2018,9,2008,"9/20/2018, 8:08 PM",462 GENESEE ST,Rochester,NY,253,Genesee,Field,PL ,120.05   ,01    ,2,D,F,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,253,Genesee,3
"462 Genesee St, Rochester, NY, 14611",462 GENESEE ST,2018-00222572,2018,9,2215,"9/8/2018, 6:15 PM",2018,9,2215,"9/8/2018, 6:15 PM",2018,9,2217,"9/8/2018, 10:17 PM",462 GENESEE ST,Rochester,NY,253,Genesee,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Parking Lot,253,Genesee,3
"453 Lyell Ave, Rochester, NY, 14606",453 LYELL AVE,2018-00237466,2018,9,2300,"9/21/2018, 7:00 PM",2018,9,2310,"9/21/2018, 7:10 PM",2018,9,1937,"9/24/2018, 7:37 PM",453 LYELL AVE,Rochester,NY,291,Lake,Exceptional Clearance,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,291,Lake,1
"460 Oak St, Rochester, NY, 14608",460 OAK ST,2018-00228901,2018,9,1738,"9/15/2018, 1:38 PM",2018,9,1738,"9/15/2018, 1:38 PM",2018,9,1738,"9/15/2018, 5:38 PM",460 OAK ST,Rochester,NY,209,Central,Office,PL ,120.05   ,01    ,2,D,F,Aggravated Assault,Assault 2nd: With Intent To Cause Serious Physical Injury   ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Other Public Access Building,209,Central,9
"165 St Bridgets Dr, Rochester, NY, 14605",165 ST BRIDGETS DR,2018-00235775,2018,9,2130,"9/22/2018, 5:30 PM",2018,9,2130,"9/22/2018, 5:30 PM",2018,9,2130,"9/22/2018, 9:30 PM",165 ST BRIDGETS DR,Rochester,NY,287,Clinton,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,287,Clinton,7
"9 Carthage Dr, Rochester, NY, 14621",9 CARTHAGE DR,2018-00215467,2018,9,1636,"9/1/2018, 12:36 PM",2018,9,1636,"9/1/2018, 12:36 PM",2018,9,1636,"9/1/2018, 4:36 PM",9 CARTHAGE DR,Rochester,NY,247,Clinton,Cleared by Arrest - Adult,PL ,120.05   ,06    ,2,D,F,Aggravated Assault,Assault 2nd: Cause Injury to Non Participant During Commissi,Aggravated Assault,Completed,Other Weapon,* No Larceny Type Specified *,Single Family Home,247,Clinton,7
"479 Monroe Ave, Rochester, NY, 14607",479 MONROE AVE,2018-00236452,2018,9,1750,"9/23/2018, 1:50 PM",2018,9,1756,"9/23/2018, 1:56 PM",2018,9,1756,"9/23/2018, 5:56 PM",479 MONROE AVE,Rochester,NY,265,Goodman,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,265,Goodman,5
"322 Tremont St, Rochester, NY, 14608",322 TREMONT ST,2018-00213280,2018,8,1000,"8/30/2018, 6:00 AM",2018,8,1008,"8/30/2018, 6:08 AM",2018,8,1008,"8/30/2018, 10:08 AM",322 TREMONT ST,Rochester,NY,213,Genesee,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,213,Genesee,3
"540 Portland Ave, Rochester, NY, 14621",540 PORTLAND AVE,2018-00248460,2018,10,1337,"10/7/2018, 9:37 AM",2018,10,1337,"10/7/2018, 9:37 AM",2018,10,1337,"10/7/2018, 1:37 PM",540 PORTLAND AVE,Rochester,NY,267,Clinton,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,"Revolver, Derringer, or Single-shot Pistol",* No Larceny Type Specified *,Street,267,Clinton,7
"355 Bay St, Rochester, NY, 14605",355 BAY ST,2018-00229670,2018,9,1446,"9/16/2018, 10:46 AM",2018,9,1446,"9/16/2018, 10:46 AM",2018,9,1508,"9/16/2018, 3:08 PM",355 BAY ST,Rochester,NY,297,Clinton,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Department/Discount Store,297,Clinton,7
"583 Garson Ave, Rochester, NY, 14609",583 GARSON AVE,2018-00222476,2018,9,2005,"9/8/2018, 4:05 PM",2018,9,2005,"9/8/2018, 4:05 PM",2018,9,2005,"9/8/2018, 8:05 PM",583 GARSON AVE,Rochester,NY,225,Goodman,Warrant Advised,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,225,Goodman,5
"34 Burrows St, Rochester, NY, 14606",34 BURROWS ST,2018-00215003,2018,9,0236,"8/31/2018, 10:36 PM",2018,9,0236,"8/31/2018, 10:36 PM",2018,9,0236,"9/1/2018, 2:36 AM",34 BURROWS ST,Rochester,NY,261,Lake,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,261,Lake,1
"31 Coleman Ter, Rochester, NY, 14605",31 COLEMAN TER,2018-00216545,2018,9,2150,"9/2/2018, 5:50 PM",2018,9,2150,"9/2/2018, 5:50 PM",2018,9,2150,"9/2/2018, 9:50 PM",31 COLEMAN TER,Rochester,NY,267,Clinton,Cleared by Arrest - Adult,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Single Family Home,267,Clinton,7
"551 Dewey Ave, Rochester, NY, 14613",551 DEWEY AVE,2018-00218423,2018,9,2130,"9/4/2018, 5:30 PM",2018,9,2150,"9/4/2018, 5:50 PM",2018,9,2130,"9/4/2018, 9:30 PM",551 DEWEY AVE,Rochester,NY,241,Lake,Warrant Advised,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,241,Lake,1
"667 Emerson St, Rochester, NY, 14613",667 EMERSON ST,2018-00236308,2018,9,1447,"9/23/2018, 10:47 AM",2018,9,1447,"9/23/2018, 10:47 AM",2018,9,1447,"9/23/2018, 2:47 PM",667 EMERSON ST,Rochester,NY,261,Lake,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,261,Lake,1
"352 Post Ave, Rochester, NY, 14619",352 POST AVE,2018-00214738,2018,8,2054,"8/31/2018, 4:54 PM",2018,8,2054,"8/31/2018, 4:54 PM",2018,8,2054,"8/31/2018, 8:54 PM",352 POST AVE,Rochester,NY,223,Genesee,Cleared by Arrest - Adult,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Other Weapon,* No Larceny Type Specified *,Single Family Home,223,Genesee,3
"71 Frances St, Rochester, NY, 14609",71 FRANCES ST,2018-00250885,2018,10,1020,"10/10/2018, 6:20 AM",2018,10,1024,"10/10/2018, 6:24 AM",2018,10,1024,"10/10/2018, 10:24 AM",71 FRANCES ST,Rochester,NY,267,Clinton,Exceptional Clearance,PL ,120.05   ,04    ,2,D,F,Aggravated Assault,Assault 2nd: Recklessly Cause Serious Physical Injury Weapon,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,267,Clinton,7
"210 Smith St, Rochester, NY, 14608",210 SMITH ST,2018-00235957,2018,9,0101,"9/22/2018, 9:01 PM",2018,9,0101,"9/22/2018, 9:01 PM",2018,9,0101,"9/23/2018, 1:01 AM",210 SMITH ST,Rochester,NY,271,Lake,Office,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Street,271,Lake,1
"200 Child St, Rochester, NY, 14611",200 CHILD ST,2018-00240110,2018,9,1654,"9/27/2018, 12:54 PM",2018,9,1654,"9/27/2018, 12:54 PM",2018,9,1654,"9/27/2018, 4:54 PM",200 CHILD ST,Rochester,NY,213,Genesee,Office,PL ,120.14   ,01    ,2,A,M,Aggravated Assault,Menacing 2nd: Weapon                                        ,Aggravated Assault,Completed,Firearm,* No Larceny Type Specified *,Street,213,Genesee,3
