Index,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
0,-77.6243579257203,43.1236079462745,2002,"601 Elmwood Ave, Rochester, NY, 14620",2016,12,1030,2016-12-23T10:30:00.000Z,2017,1,900,2017-01-05T09:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Hospital,43.1226582,-77.62545469999999
1,-77.6243579257203,43.1236079462745,2003,"601 Elmwood Ave, Rochester, NY, 14620",2016,12,1200,2016-12-06T12:00:00.000Z,2016,12,1300,2016-12-06T13:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Hospital,43.1226582,-77.62545469999999
2,-77.57578810544071,43.177140782505894,2007,"1237 N Goodman St, Rochester, NY, 14609",2016,10,2232,2016-10-16T22:32:00.000Z,2016,10,2232,2016-10-16T22:32:00.000Z,F,Robbery 1st: Displays What Appears To Be a Firearm          ,3,Firearm,* No Larceny Type Specified *,Street,43.1771629,-77.5759676
3,-77.54681373227429,43.156816455857,2008,"75 Browncroft Blvd, Rochester, NY, 14609",2016,10,900,2016-10-08T09:00:00.000Z,2016,10,1200,2016-10-15T12:00:00.000Z,F,Grand Larceny 4th: Value Property Greater Than $1000        ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1568121,-77.5467831
4,-77.63074422122041,43.1336715869691,2009,"1236 S Plymouth Ave, Rochester, NY, 14611",2016,10,1030,2016-10-20T10:30:00.000Z,2016,10,2119,2016-10-20T21:19:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,College,43.1336216,-77.62977
5,-77.5911510262453,43.155621008412105,2010,"8 Prince St, Rochester, NY, 14607",2016,10,0,2016-10-21T00:00:00.000Z,2016,10,600,2016-10-21T06:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,43.1557941,-77.5908357
6,-77.6267009982442,43.1298190003708,2011,"500 Joseph C Wilson Blvd, Rochester, NY, 14620",2016,10,1800,2016-10-19T18:00:00.000Z,2016,10,1400,2016-10-20T14:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,College,43.12856190000001,-77.6300753
7,-77.58797034844291,43.183130528579,2012,"81 Barberry Ter, Rochester, NY, 14621",2016,9,1200,2016-09-18T12:00:00.000Z,2016,10,1540,2016-10-17T15:40:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Mailbox,Unknown,43.1830712,-77.5877727
8,-77.5519505857309,43.1650226310225,2013,"132 Presque St, Rochester, NY, 14609",2016,10,2330,2016-10-16T23:30:00.000Z,2016,10,730,2016-10-17T07:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Street,43.1649908,-77.5519781
9,-77.59994174454341,43.1387118880975,2015,"814 Meigs St, Rochester, NY, 14620",2016,10,2300,2016-10-17T23:00:00.000Z,2016,10,940,2016-10-18T09:40:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Street,43.1386215,-77.5998044
10,-77.5892071179585,43.180357415711,2016,"123 Holbrooke St, Rochester, NY, 14621",2016,10,2,2016-10-19T00:02:00.000Z,2016,10,2,2016-10-19T00:02:00.000Z,F,Robbery 2nd: Aided By Another                               ,3,Personal Weapons,* No Larceny Type Specified *,Other Outside Location,43.1804739,-77.5878252
11,-77.5525468011637,43.15590794854511,2017,"93 Delray Rd, Rochester, NY, 14610",2016,10,2130,2016-10-16T21:30:00.000Z,2016,10,745,2016-10-17T07:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.155893,-77.5525715
12,-77.5571697888762,43.154710714355495,2019,"44 Amsterdam Rd, Rochester, NY, 14610",2016,10,800,2016-10-11T08:00:00.000Z,2016,10,1516,2016-10-11T15:16:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1547122,-77.5571728
13,-77.5815703158648,43.1397289287897,2022,"1040 Monroe Ave, Rochester, NY, 14620",2016,10,1600,2016-10-15T16:00:00.000Z,2016,10,1423,2016-10-16T14:23:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1397825,-77.58150289999999
14,-77.6514164540994,43.160148929406006,2023,"36 Pool St, Rochester, NY, 14606",2016,10,615,2016-10-15T06:15:00.000Z,2016,10,1000,2016-10-15T10:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1601276,-77.6514424
15,-77.646385986105,43.1541023130977,2024,"194 Hague St, Rochester, NY, 14611",2016,10,2130,2016-10-15T21:30:00.000Z,2016,10,600,2016-10-16T06:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1540502,-77.64634149999999
16,-77.597852705002,43.145006651006696,2025,"267 Pearl St, Rochester, NY, 14607",2016,10,1730,2016-10-14T17:30:00.000Z,2016,10,1845,2016-10-14T18:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1450186,-77.597897
17,,,2027,,2016,10,2136,2016-10-12T21:36:00.000Z,2016,10,2136,2016-10-12T21:36:00.000Z,F,Robbery 1st: Displays What Appears To Be a Firearm          ,3,Firearm,* No Larceny Type Specified *,Street,33.791638,-84.389488
18,-77.5813154791848,43.1853375763598,2028,"94 Jackson St, Rochester, NY, 14621",2016,9,1603,2016-09-30T16:03:00.000Z,2016,9,1730,2016-09-30T17:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1853227,-77.5812625
19,-77.55439368352941,43.164633332555105,2029,"44 Wyand Cres, Rochester, NY, 14609",2016,10,1900,2016-10-16T19:00:00.000Z,2016,10,630,2016-10-17T06:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Outside Location,43.1646233,-77.5543964
20,-77.61767868548199,43.1885092012631,2030,"83 Strong St, Rochester, NY, 14621",2016,10,2120,2016-10-25T21:20:00.000Z,2016,10,2120,2016-10-25T21:20:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Single Family Home,43.188505,-77.617729
21,-77.62945416458808,43.20978987987579,2031,"2260 Lake Ave, Rochester, NY, 14612",2016,12,1200,2016-12-23T12:00:00.000Z,2016,12,1200,2016-12-24T12:00:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.2091595,-77.6297266
22,-77.5615696226512,43.160028690748206,2032,"1850 E Main St, Rochester, NY, 14609",2016,9,1200,2016-09-18T12:00:00.000Z,2016,9,1110,2016-09-25T11:10:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Garage/Shed,43.1600535,-77.5615725
23,-77.6059338172462,43.1547817594065,2033,"1 Bausch And Lomb Pl, Rochester, NY, 14604",2016,10,200,2016-10-13T02:00:00.000Z,2016,10,215,2016-10-13T02:15:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Street,43.1545792,-77.60592989999999
24,-77.6005262742279,43.15738703485229,2034,"30 Swan St, Rochester, NY, 14604",2016,10,1600,2016-10-07T16:00:00.000Z,2016,10,1420,2016-10-12T14:20:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,College,43.1575657,-77.60034809999999
25,-77.6397072267694,43.1782205605898,2035,"715 Dewey Ave, Rochester, NY, 14613",2016,10,1400,2016-10-01T14:00:00.000Z,2016,10,1400,2016-10-15T14:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Other Building,43.1781717,-77.6398085
