X,Y,OBJECTID,Geocode_Address,Geocode_Street,Case_Number,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Reported_Date_Year,Reported_Date_Month,Reported_Time,Reported_Timestamp,Address_StreetFull,Address_City,Address_State,Patrol_Beat,Patrol_Section,Case_Status,Statute_Title,Statute_Section,Statute_Subsection,Statute_Degree,Statute_Class,Statute_Category,Statute_Text,Statute_Description,Statute_CrimeCategory,Statute_Attempted,Weapon_Description,Larceny_Type,Location_Type,Geo_Beat,Geo_Section,Geo_Section_Num
-77.5477777321614,43.1588271138194,2001,"696 North Winton Rd, Rochester, NY, 14609",696 N WINTON ROAD,2017-00155943,2017,6,515,2017-06-27T05:15:00.000Z,2017,6,515,2017-06-27T05:15:00.000Z,2017,6,515,2017-06-27T09:15:00.000Z,696 N WINTON ROAD,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6311433688321,43.1667065750854,2004,"159 Saratoga Ave, Rochester, NY, 14608",159 SARATOGA AVE,2017-00137236,2017,6,430,2017-06-07T04:30:00.000Z,2017,6,2314,2017-06-08T23:14:00.000Z,2017,6,2315,2017-06-09T03:15:00.000Z,159 SARATOGA AVE,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6243579257203,43.1236079462745,2005,"601 Elmwood Ave, Rochester, NY, 14620",601 ELMWOOD AVE,2017-00008074,2017,1,900,2017-01-06T09:00:00.000Z,2017,1,1715,2017-01-06T17:15:00.000Z,2017,1,1047,2017-01-11T15:47:00.000Z,601 ELMWOOD AVE,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6123808359166,43.1922964155184,2006,"10 Reliance St, Rochester, NY, 14621",10 RELIANCE ST,2017-00007966,2017,1,1700,2017-01-10T17:00:00.000Z,2017,1,757,2017-01-11T07:57:00.000Z,2017,1,757,2017-01-11T12:57:00.000Z,10 RELIANCE ST,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6506568121783,43.1895328199139,2014,"50 Arborwood Cres, Rochester, NY, 14615",50 ARBORWOOD CRES,2017-00008763,2017,1,815,2017-01-12T08:15:00.000Z,2017,1,815,2017-01-12T08:15:00.000Z,2017,1,815,2017-01-12T13:15:00.000Z,50 ARBORWOOD CRES,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6018823557122,43.1386479183701,2018,"42 Benton St, Rochester, NY, 14620",42 BENTON ST,2017-00277931,2017,10,1730,2017-10-30T17:30:00.000Z,2017,10,830,2017-10-31T08:30:00.000Z,2017,10,855,2017-10-31T12:55:00.000Z,42 BENTON ST,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.5815703158648,43.1397289287897,2021,"1040 Monroe Ave, Rochester, NY, 14620",1040 MONROE AVE,2017-00294118,2017,11,1715,2017-11-19T17:15:00.000Z,2017,11,2045,2017-11-19T20:45:00.000Z,2017,11,2111,2017-11-20T02:11:00.000Z,1040 MONROE AVE,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6267009982442,43.1298190003708,2036,"500 Joseph C Wilson Blvd, Rochester, NY, 14620",500 JOSEPH C WILSON BLVD,2017-00272012,2017,10,800,2017-10-23T08:00:00.000Z,2017,10,0,2017-10-24T00:00:00.000Z,2017,10,1218,2017-10-24T16:18:00.000Z,500 JOSEPH C WILSON BLVD,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.5926625029597,43.1590954694666,2038,"403 Alexander St, Rochester, NY, 14607",403 ALEXANDER ST,2017-00166760,2017,7,1638,2017-07-07T16:38:00.000Z,2017,7,1638,2017-07-07T16:38:00.000Z,2017,7,1638,2017-07-07T20:38:00.000Z,403 ALEXANDER ST,Rochester,NY,,,,,,,,,,,,,,,,,,,
-77.6195404042226,43.1804318724509,2041,"182 Avenue D, Rochester, NY, 14621",182 AVENUE D,2017-00005803,2017,1,745,2017-01-05T07:45:00.000Z,2017,1,745,2017-01-05T07:45:00.000Z,2017,1,1038,2017-01-08T15:38:00.000Z,182 AVENUE D,Rochester,NY,,,,,,,,,,,,,,,,,,,
