,X,Y,OBJECTID,Geocode_Address,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Statute_Category,Statute_Description,Statute_CrimeCategory,Weapon_Description,Larceny_Type,Location_Type,Latitude,Longitude
0,-77.5815703158648,43.1397289287897,2020,"1040 Monroe Ave, Rochester, NY, 14620",2018,3,2000,2018-03-20T20:00:00.000Z,2018,3,730,2018-03-21T07:30:00.000Z,F,Grand Larceny 3rd: Property Value Exceeds $3000             ,6,* No Weapon Specified *,All Other Larcenies,Street,43.1397825,-77.58150289999999
1,-77.61980224063959,43.18619773424789,2026,"155 Norton St, Rochester, NY, 14621",2018,4,1000,2018-04-28T10:00:00.000Z,2018,4,1510,2018-04-28T15:10:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.186117,-77.61975939999999
2,-77.64778918234892,43.140830043891,2054,"264 Post Ave, Rochester, NY, 14619",2018,10,940,2018-10-10T09:40:00.000Z,2018,10,940,2018-10-10T09:40:00.000Z,F,Murder 2nd: Intention                                       ,1,Firearm,* No Larceny Type Specified *,Single Family Home,43.1408143,-77.64777339999999
3,-77.64778918234892,43.140830043891,2055,"264 Post Ave, Rochester, NY, 14619",2018,7,2039,2018-07-09T20:39:00.000Z,2018,7,2039,2018-07-09T20:39:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1408143,-77.64777339999999
4,-77.60546877341021,43.146544311843996,2062,"500 South Ave, Rochester, NY, 14620",2018,5,1102,2018-05-20T11:02:00.000Z,2018,5,1145,2018-05-20T11:45:00.000Z,F,Assault 2nd: With Intent To Cause Serious Physical Injury   ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,43.1464625,-77.6052498
5,-77.6451237821207,43.131184746158,2072,"362 Brooks Ave, Rochester, NY, 14619",2018,3,1225,2018-03-14T12:25:00.000Z,2018,3,1225,2018-03-14T12:25:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Semiautomatic Handgun,* No Larceny Type Specified *,Multiple Dwelling,43.13121719999999,-77.6450919
6,-77.6021089467835,43.18858580548571,2089,"85 Wakefield St, Rochester, NY, 14621",2018,8,1510,2018-08-13T15:10:00.000Z,2018,8,1510,2018-08-13T15:10:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,43.1885821,-77.6021241
7,-77.601490378061,43.1566731446362,2102,"109 East Ave, Rochester, NY, 14604",2018,8,2330,2018-08-26T23:30:00.000Z,2018,8,2330,2018-08-26T23:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Bar,43.1566817,-77.6012408
8,-77.6240288013838,43.1465323138731,2127,"91 Dr Samuel Mccree Way, Rochester, NY, 14608",2018,6,944,2018-06-26T09:44:00.000Z,2018,6,944,2018-06-26T09:44:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1464724,-77.62411639999999
9,-77.6404818237273,43.1397489704866,2141,"440 Wellington Ave, Rochester, NY, 14619",2018,6,1200,2018-06-08T12:00:00.000Z,2018,6,1230,2018-06-08T12:30:00.000Z,F,Grand Larceny 4th: Value Property Greater Than $1000        ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1397299,-77.64041259999999
10,-77.6243579257203,43.1236079462745,2153,"601 Elmwood Ave, Rochester, NY, 14620",2018,6,957,2018-06-14T09:57:00.000Z,2018,6,1745,2018-06-14T17:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,43.1226582,-77.62545469999999
11,-77.58544674819191,43.1494750313098,2186,"389 Park Ave, Rochester, NY, 14607",2018,3,2000,2018-03-05T20:00:00.000Z,2018,3,500,2018-03-06T05:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Street,43.1494282,-77.5854277
12,-77.58276679762429,43.1467529935816,2199,"225 Barrington St, Rochester, NY, 14607",2018,3,1800,2018-03-19T18:00:00.000Z,2018,3,1200,2018-03-20T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Unknown,43.1467513,-77.5827973
13,-77.5913069050111,43.1392024071784,2200,"461 Benton St, Rochester, NY, 14620",2018,6,1130,2018-06-13T11:30:00.000Z,2018,6,1130,2018-06-13T11:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.139152,-77.59131599999999
14,-77.6121941022898,43.116770760486204,2203,"102 Green Knolls Dr, Rochester, NY, 14620",2018,1,209,2018-01-06T02:09:00.000Z,2018,1,220,2018-01-06T02:20:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,43.1157657,-77.6149894
15,-77.6534520615333,43.134449390331106,2232,"85 Hillendale St, Rochester, NY, 14619",2018,3,2300,2018-03-11T23:00:00.000Z,2018,3,200,2018-03-12T02:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1345193,-77.65346149999999
16,-77.6270805159886,43.170376312558794,2251,"312 Lake Ave, Rochester, NY, 14613",2018,1,1100,2018-01-03T11:00:00.000Z,2018,1,1600,2018-01-03T16:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.1704062,-77.62688299999999
17,-77.54398375967091,43.1588698135413,2262,"71 Berwick Rd, Rochester, NY, 14609",2018,8,2100,2018-08-26T21:00:00.000Z,2018,8,745,2018-08-27T07:45:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1588926,-77.5440064
18,-77.662914635454,43.1615153572297,2265,"78 Dodge St, Rochester, NY, 14606",2018,3,38,2018-03-21T00:38:00.000Z,2018,3,38,2018-03-21T00:38:00.000Z,F,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,43.1615922,-77.6632076
19,-77.5616891365777,43.16342322820871,2270,"35 Clark St, Rochester, NY, 14609",2018,8,900,2018-08-30T09:00:00.000Z,2018,8,1800,2018-08-30T18:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1629745,-77.561644
20,-77.6269491569989,43.14890488841289,2273,"310 Adams St, Rochester, NY, 14608",2018,8,1524,2018-08-27T15:24:00.000Z,2018,8,1524,2018-08-27T15:24:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Semiautomatic Handgun,* No Larceny Type Specified *,Street,43.1490119,-77.6286228
21,-77.6267009982442,43.1298190003708,2274,"500 Joseph C Wilson Blvd, Rochester, NY, 14620",2018,8,942,2018-08-29T09:42:00.000Z,2018,8,943,2018-08-29T09:43:00.000Z,F,Grand Larceny 4th: Value Property Greater Than $1000        ,6,* No Weapon Specified *,Theft from Building,College,43.12856190000001,-77.6300753
22,-77.6128646330292,43.1901164578844,2280,"1624 N Clinton Ave, Rochester, NY, 14621",2018,3,2317,2018-03-17T23:17:00.000Z,2018,3,2317,2018-03-17T23:17:00.000Z,F,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,* No Weapon Specified *,Motor Vehicle Theft,Multiple Dwelling,43.1902128,-77.6128853
23,-77.6243579257203,43.1236079462745,2282,"601 Elmwood Ave, Rochester, NY, 14620",2018,5,1200,2018-05-15T12:00:00.000Z,2018,5,1226,2018-05-15T12:26:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Building,Hospital,43.1226582,-77.62545469999999
24,-77.6073725235947,43.143740080156405,2289,"135 Averill Ave, Rochester, NY, 14620",2018,8,830,2018-08-10T08:30:00.000Z,2018,8,1200,2018-08-10T12:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Street,43.1437033,-77.6073613
25,-77.5953280030728,43.1520133377861,2311,"17 Park Ave, Rochester, NY, 14607",2018,2,1700,2018-02-17T17:00:00.000Z,2018,2,41,2018-02-20T00:41:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,43.15192649999999,-77.5952751
26,-77.6267457362535,43.1686520596847,2312,"233 Lake Ave, Rochester, NY, 14608",2018,8,856,2018-08-23T08:56:00.000Z,2018,8,856,2018-08-23T08:56:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.168721,-77.6266964
27,-77.6155938935505,43.1165314310246,2319,"36 Green Knolls Dr, Rochester, NY, 14620",2018,2,1800,2018-02-24T18:00:00.000Z,2018,2,1900,2018-02-24T19:00:00.000Z,M,Menacing 2nd: Weapon                                        ,4,Knife/Cutting Instrument,* No Larceny Type Specified *,Multiple Dwelling,43.1151312,-77.6149555
28,-77.5689080955505,43.175828496340706,2324,"1967 Clifford Ave, Rochester, NY, 14609",2018,1,1330,2018-01-04T13:30:00.000Z,2018,1,1330,2018-01-04T13:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Yard,43.1758384,-77.56890489999999
29,-77.5765666884536,43.16782547925771,2325,"297 Webster Ave, Rochester, NY, 14609",2018,7,0,2018-07-07T00:00:00.000Z,2018,7,900,2018-07-07T09:00:00.000Z,F,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,* No Weapon Specified *,* No Larceny Type Specified *,Other Building,43.16781570000001,-77.5765502
30,-77.5881217364171,43.1711807189956,2328,"217 First St, Rochester, NY, 14605",2018,7,2230,2018-07-01T22:30:00.000Z,2018,7,1000,2018-07-02T10:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Single Family Home,43.1710227,-77.5883447
31,-77.6243579257203,43.1236079462745,2333,"601 Elmwood Ave, Rochester, NY, 14620",2018,2,300,2018-02-05T03:00:00.000Z,2018,2,600,2018-02-05T06:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Hospital,43.1226582,-77.62545469999999
32,-77.6273836583595,43.2302470011738,2364,"30 Winans St, Rochester, NY, 14612",2018,9,200,2018-09-13T02:00:00.000Z,2018,9,730,2018-09-13T07:30:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.230279,-77.62737299999999
33,-77.5810447053565,43.1539843809062,2397,"26 Portsmouth Ter, Rochester, NY, 14607",2018,7,30,2018-07-31T00:30:00.000Z,2018,7,200,2018-07-31T02:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,43.1540033,-77.5809043
34,-77.61322396271599,43.1744182985005,2399,"877 N Clinton Ave, Rochester, NY, 14605",2018,9,1500,2018-09-05T15:00:00.000Z,2018,9,1700,2018-09-05T17:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Park/Playground,43.1745494,-77.6135425
35,-77.6243579257203,43.1236079462745,2404,"601 Elmwood Ave, Rochester, NY, 14620",2018,1,900,2018-01-27T09:00:00.000Z,2018,1,1000,2018-01-27T10:00:00.000Z,M,Petit Larceny                                               ,6,* No Weapon Specified *,All Other Larcenies,Hospital,43.1226582,-77.62545469999999
36,-77.6170570768593,43.181927002394,2406,"26 Ok Ter, Rochester, NY, 14621",2018,8,1259,2018-08-05T12:59:00.000Z,2018,8,1259,2018-08-05T12:59:00.000Z,F,Robbery 2nd: Aided By Another                               ,3,Blunt Object,* No Larceny Type Specified *,Single Family Home,43.1818739,-77.6170332
37,-77.6456808860885,43.134026225811205,2412,"623 Woodbine Ave, Rochester, NY, 14619",2018,5,1300,2018-05-28T13:00:00.000Z,2018,5,823,2018-05-29T08:23:00.000Z,F,Burglary 2nd: Illegal Entry: Dwelling                       ,5,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,43.134014,-77.64578499999999
